Status,Campaign ID,Program,Domain,Payout,Type,Deeplink allowed,Affiliate link
Pre-approved (open),77099,strevoxes,strevoxes.com,11.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.strevoxes.com%2F
Pre-approved (open),21967,Striking Viking,vikingbeardgear.com,7.13%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fvikingbeardgear.com%2F
Pre-approved (open),53725,stuhrling,stuhrling.com,3.92%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.stuhrling.com
Pre-approved (open),9283,Stylevana,stylevana.com,1.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.stylevana.com%2F
Pre-approved (open),5653,Stylevana HK,stylevana.com,4.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.stylevana.com%2Fzh_HK%2F
Pre-approved (open),4737,Stylewe,stylewe.com,9%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fstylewe.com%2F
Pre-approved (open),3666,Sugar Cosmetics,sugarcosmetics.com,15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.sugarcosmetics.com%2F
Pre-approved (open),58119,Sungait,sungait.com,5.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.sungait.com
Pre-approved (open),9685,Sunjoyshop,sunjoyshop.com,1.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsunjoyshop.com
Pre-approved (open),77098,SunnyWhale,sunnywhale.net,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsunnywhale.net%2F
Pre-approved (open),53754,SuperBox,superboxplus.com,15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.superboxplus.com
Pre-approved (open),58274,Superfiliate,superfiliate.com,18.75%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftry.superfiliate.com%2Fpartners
Pre-approved (open),9770,Superjeweler,superjeweler.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.superjeweler.com
